ID;CourseID;Number;Edition;EditionOrder;Year;Revision;InStock;Remark
1;1;2;3;1;;;;
2;1;3;3;1;;;;
3;1;4;3;1;;;;
4;1;5;3;1;;;;
5;1;6;3;1;;;;
6;1;7;3;1;;;;
7;1;8;3;1;;;;
8;1;9;3;1;;;;
9;1;10;3;1;;;;
10;1;11;3;3;;;;
11;1;12;3;2;;;;
12;2;1;3;1;;;;
13;2;2;3;2;;;;
14;2;3;3;2;;;;
15;2;4;3;2;;;;
16;2;5;3;2;;;;
17;2;6;3;2;;;;
18;2;7;3;2;;;;
19;2;8;3;2;;;;
20;2;9;3;2;;;;
21;2;10;3;2;;;;
22;2;11;3;2;;;;
23;2;12;3;2;;;;
24;3;1;3;3;;;;
25;3;2;3;2;;;;
26;3;3;3;2;;;;
27;3;4;3;2;;;;
28;3;5;3;2;;;;
29;3;6;3;2;;;;
30;3;7;3;2;;;;
31;3;8;3;2;;;;
32;3;9;3;2;;;;
33;3;10;3;2;;;;
34;3;11;3;2;;;;
35;3;12;3;2;;;;
36;4;1;3;3;;;;
37;4;2;3;2;;;;
38;4;3;3;2;;;;
39;4;4;3;2;;;;
40;4;5;3;2;;;;
41;4;6;3;2;;;;
42;4;7;3;2;;;;
43;4;8;3;2;;;;
44;4;9;3;2;;;;
45;4;10;3;2;;;;
46;4;11;3;2;;;;
47;4;12;3;2;;;;
48;5;1;3;2;;;;
49;5;2;3;2;;;;
50;5;3;3;2;;;;
51;5;4;3;2;;;;
52;5;5;3;2;;;;
53;5;6;3;2;;;;
54;5;7;3;2;;;;
55;5;8;3;2;;;;
56;5;9;3;2;;;;
57;5;10;3;2;;;;
58;5;11;3;2;;;;
59;5;12;3;2;;;;
60;6;1;3;2;;;;
61;6;2;3;2;;;;
62;6;3;3;2;;;;
63;6;4;3;2;;;;
64;6;5;3;2;;;;
65;6;6;3;2;;;;
66;6;7;3;2;;;;
67;6;8;3;2;;;;
68;6;9;3;2;;;;
69;6;10;3;2;;;;
70;6;11;3;2;;;;
71;6;12;3;2;;;;
72;7;1;3;2;;;;
73;7;2;3;2;;;;
74;7;3;3;2;;;;
75;7;4;3;2;;;;
76;7;5;3;2;;;;
77;7;6;3;2;;;;
78;7;7;3;2;;;;
79;7;8;3;2;;;;
80;7;9;3;2;;;;
81;7;10;3;2;;;;
82;7;11;3;2;;;;
83;7;12;3;2;;;;
84;8;1;3;2;;;;
85;8;2;3;2;;;;
86;8;3;3;2;;;;
87;8;4;3;2;;;;
88;8;5;3;2;;;;
89;8;6;3;2;;;;
90;8;7;3;2;;;;
91;8;8;3;2;;;;
92;8;9;3;2;;;;
93;8;10;3;2;;;;
94;8;11;3;2;;;;
95;8;12;3;2;;;;
96;9;13;3;2;;;;
97;9;14;3;1;;;;
98;9;15;3;1;;;;
99;9;16;3;1;;;;
100;9;17;3;1;;;;
101;9;18;3;1;;;;
102;9;19;3;1;;;;
103;9;20;3;1;;;;
