ID;CourseID;Number;SpecificationAbb;Edition;EditionOrder;Year;Type;StarValue;Remark
1;1;2;RR;3;1;;PT;1;
2;1;3;RR;3;1;;PT;1;
3;1;4;RR;3;1;;PT;1;
4;1;5;RR;3;1;;PT;1;
5;1;6;RR;3;1;;PT;1;
6;1;7;RR;3;1;;PT;1;
7;1;8;RR;3;1;;PT;1;
8;1;9;RR;3;1;;PT;1;
9;1;10;RR;3;1;;PT;1;
10;1;11;RR;3;3;;PT;1;
11;1;12;RR;3;2;;PT;1;
12;2;1;MA;3;1;;PT;1;
13;2;2;MA;3;2;;PT;1;
14;2;3;MA;3;2;;PT;1;
15;2;4;MA;3;2;;PT;1;
16;2;5;MA;3;2;;PT;1;
17;2;6;MA;3;2;;PT;1;
18;2;7;MA;3;2;;PT;1;
19;2;8;MA;3;2;;PT;1;
20;2;9;MA;3;2;;PT;1;
21;2;10;MA;3;2;;PT;1;
22;2;11;MA;3;2;;PT;1;
23;2;12;MA;3;2;;PT;1;
24;3;1;EN;3;3;;PT;1;
25;3;2;EN;3;2;;PT;1;
26;3;3;EN;3;2;;PT;1;
27;3;4;EN;3;2;;PT;1;
28;3;5;EN;3;2;;PT;1;
29;3;6;EN;3;2;;PT;1;
30;3;7;EN;3;2;;PT;1;
31;3;8;EN;3;2;;PT;1;
32;3;9;EN;3;2;;PT;1;
33;3;10;EN;3;2;;PT;1;
34;3;11;EN;3;2;;PT;1;
35;3;12;EN;3;2;;PT;1;
36;4;1;WB;3;3;;PT;1;
37;4;2;WB;3;2;;PT;1;
38;4;3;WB;3;2;;PT;1;
39;4;4;WB;3;2;;PT;1;
40;4;5;WB;3;2;;PT;1;
41;4;6;WB;3;2;;PT;1;
42;4;7;WB;3;2;;PT;1;
43;4;8;WB;3;2;;PT;1;
44;4;9;WB;3;2;;PT;1;
45;4;10;WB;3;2;;PT;1;
46;4;11;WB;3;2;;PT;1;
47;4;12;WB;3;2;;PT;1;
48;5;1;LC;3;2;;PT;1;
49;5;2;LC;3;2;;PT;1;
50;5;3;LC;3;2;;PT;1;
51;5;4;LC;3;2;;PT;1;
52;5;5;LC;3;2;;PT;1;
53;5;6;LC;3;2;;PT;1;
54;5;7;LC;3;2;;PT;1;
55;5;8;LC;3;2;;PT;1;
56;5;9;LC;3;2;;PT;1;
57;5;10;LC;3;2;;PT;1;
58;5;11;LC;3;2;;PT;1;
59;5;12;LC;3;2;;PT;1;
60;6;1;SC;3;2;;PT;1;
61;6;2;SC;3;2;;PT;1;
62;6;3;SC;3;2;;PT;1;
63;6;4;SC;3;2;;PT;1;
64;6;5;SC;3;2;;PT;1;
65;6;6;SC;3;2;;PT;1;
66;6;7;SC;3;2;;PT;1;
67;6;8;SC;3;2;;PT;1;
68;6;9;SC;3;2;;PT;1;
69;6;10;SC;3;2;;PT;1;
70;6;11;SC;3;2;;PT;1;
71;6;12;SC;3;2;;PT;1;
72;7;1;SS;3;2;;PT;1;
73;7;2;SS;3;2;;PT;1;
74;7;3;SS;3;2;;PT;1;
75;7;4;SS;3;2;;PT;1;
76;7;5;SS;3;2;;PT;1;
77;7;6;SS;3;2;;PT;1;
78;7;7;SS;3;2;;PT;1;
79;7;8;SS;3;2;;PT;1;
80;7;9;SS;3;2;;PT;1;
81;7;10;SS;3;2;;PT;1;
82;7;11;SS;3;2;;PT;1;
83;7;12;SS;3;2;;PT;1;
84;8;1;BR;3;2;;PT;1;
85;8;2;BR;3;2;;PT;1;
86;8;3;BR;3;2;;PT;1;
87;8;4;BR;3;2;;PT;1;
88;8;5;BR;3;2;;PT;1;
89;8;6;BR;3;2;;PT;1;
90;8;7;BR;3;2;;PT;1;
