ID,Name,Alias,ICCE-Alias,Level,SubjectID,Remarks,Specification,SubjectGroupID,CourseType,Course,PassThreshold,Status
1,,Maths Reading Readiness,,0,1,,RR,2,Core,Maths Reading Readiness,0.8,
2,,Maths Level 1,,1,1,,MA,2,Core,Maths Level 1,0.8,
3,,English Level 1,,1,2,,EN,2,Core,English Level 1,0.8,
4,,Word Building Level 1,,1,3,,WB,2,Core,Word Building Level 1,0.9,#NAAM?
5,,Literature and Creative Writing Level 1,,1,4,,LC,2,Core,Literature and Creative Writing Level 1,0.8,
6,Science 1,Science Level 1,,1,5,,SC,2,Core,Science Level 1,0.8,
7,,Social Studies Level 1,,1,6,,SS,2,Core,Social Studies Level 1,0.8,
8,,Bible Reading Level 1,,1,7,,BR,1,Core,Bible Reading Level 1,0.8,
9,,Maths Level 2,,2,1,,MA,2,Core,Maths Level 2,0.8,
10,,English Level 2,,2,2,,EN,2,Core,English Level 2,0.8,
11,,Word Building Level 2,,2,3,,WB,2,Core,Word Building Level 2,0.9,
12,,Literature and Creative Writing Level 2,,2,4,,LC,2,Core,Literature and Creative Writing Level 2,0.8,
13,Science 2,Science Level 2,,2,5,,SC,2,Core,Science Level 2,0.8,
14,,Social Studies Level 2,,2,6,,SS,2,Core,Social Studies Level 2,0.8,
15,,Bible Reading Level 2,,2,7,,BR,1,Core,Bible Reading Level 2,0.8,
16,,Maths Level 3,,3,1,,MA,2,Core,Maths Level 3,0.8,
17,,English Level 3,,3,2,,EN,2,Core,English Level 3,0.8,
18,,Word Building Level 3,,3,3,,WB,2,Core,Word Building Level 3,0.9,
19,,Literature and Creative Writing Level 3,,3,4,,LC,2,Core,Literature and Creative Writing Level 3,0.8,
20,Science 3,Science Level 3,,3,5,,SC,2,Core,Science Level 3,0.8,
21,,Social Studies Level 3,,3,6,,SS,2,Core,Social Studies Level 3,0.8,
22,,Bible Reading Level 3,,3,7,,BR,1,Core,Bible Reading Level 3,0.8,
23,,Maths Level 4,,4,1,,MA,2,Core,Maths Level 4,0.8,
24,,English Level 4,,4,2,,EN,2,Core,English Level 4,0.8,
25,,Word Building Level 4,,4,3,,WB,2,Core,Word Building Level 4,0.9,
26,,Literature and Creative Writing Level 4,,4,4,,LC,2,Core,Literature and Creative Writing Level 4,0.8,
27,Science 4,Science Level 4,,4,5,,SC,2,Core,Science Level 4,0.8,
28,,Social Studies Level 4,,4,6,,SS,2,Core,Social Studies Level 4,0.8,
29,,Bible Reading Level 4,,4,7,,BR,1,Core,Bible Reading Level 4,0.8,
30,,Maths Level 5,,5,1,,MA,2,Core,Maths Level 5,0.8,
31,,English Level 5,,5,2,,EN,2,Core,English Level 5,0.8,
32,,Word Building Level 5,,5,3,,WB,2,Core,Word Building Level 5,0.9,
33,,Literature and Creative Writing Level 5,,5,4,,LC,2,Core,Literature and Creative Writing Level 5,0.8,
34,Science 5,Science Level 5,,5,5,,SC,2,Core,Science Level 5,0.8,
35,,Social Studies Level 5,,5,6,,SS,2,Core,Social Studies Level 5,0.8,
36,,Bible Reading Level 5,,5,7,,BR,1,Core,Bible Reading Level 5,0.8,
37,,Maths Level 6,,6,1,,MA,2,Core,Maths Level 6,0.8,
38,,English Level 6,,6,2,,EN,2,Core,English Level 6,0.8,
39,,Word Building Level 6,,6,3,,WB,2,Core,Word Building Level 6,0.9,
40,,Literature and Creative Writing Level 6,,6,4,,LC,2,Core,Literature and Creative Writing Level 6,0.8,
41,Science 6,Science Level 6,,6,5,,SC,2,Core,Science Level 6,0.8,
42,,Social Studies Level 6,,6,6,,SS,2,Core,Social Studies Level 6,0.8,
43,,Bible Reading Level 6,,6,7,,BR,1,Core,Bible Reading Level 6,0.8,
44,,Maths Level 7,,7,1,,MA,2,Core,Maths Level 7,0.8,
45,,English Level 7,,7,2,,EN,2,Core,English Level 7,0.8,
46,,Beginning Art,,7,3,,BA,2,Core,Beginning Art,0.8,
47,,Word Building Level 7,,7,3,,WB,2,Core,Word Building Level 7,0.9,
48,,Literature Level 7,,7,4,Alleen even getallen hebben PACE beschikbaar,LC,2,Core,Literature Level 7,0.8,
49,Science 7,Science Level 7,,7,5,,SC,2,Core,Science Level 7,0.8,
